agi_bin,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
INT2010,0.896356531591,0.819219555753,0.877527988163,0.839605669132,0.86765570933,0.949632424669,0.84802462672,0.847854079946,0.820697619344,0.853112523787,0.903841372512,0.861582681941,0.987770267684,1.03229618557,1.07921477017,1.05729871102,1.07989629538,1.02482345131,2.40614023416
INT2011,1.09080222262,0.799844803497,0.763704302426,0.861060862852,0.921800172795,0.824225655325,0.911762557796,0.938065760478,1.00057085886,0.888728028518,0.966249378166,1.01212283282,1.06741740929,1.02906894382,1.04759751617,1.14594753693,1.09783227232,1.09531968199,1.11795224949
INT2012,0.966345647238,0.838688434135,0.85454104165,0.861207281706,0.723156090395,0.824209590116,0.795475938199,0.775958040735,0.868032092337,0.962511194018,0.980301241851,0.990477864819,1.03039801356,1.01767403674,0.846115819515,0.886190163703,0.887954009918,1.08643640874,1.16407459291
INT2013,1.08710230414,0.827088995213,0.74840620415,0.733233270804,0.878729794182,0.839268231397,0.92694401291,0.9240728714,0.811178035008,0.812832339802,0.913317491985,0.946847367386,1.02441261208,1.05989278388,1.26567884042,1.221421568,1.26069978413,1.09600043048,1.44206977133
INT2014,1.00696557638,0.828874206876,0.883311596308,0.806119312542,0.871259720629,0.890526940639,1.03613481025,0.886694888943,0.832972678391,1.01690664738,0.84079031761,1.06525827804,1.06505569834,0.944445807396,1.00008416518,1.00161863977,0.957644602363,1.04413086226,0.957857068931
INT2015,0.948419653346,1.02341331531,0.967119520905,0.964994797146,0.986015115355,0.974146083705,0.984868071367,0.996195204506,0.991408823882,1.00376592304,1.00742947961,1.00135755923,0.986980717551,0.987114802047,1.01578129623,1.03053373487,1.03197134586,1.02835769161,1.08233067569
INT2016,1.02563542254,0.929808726603,0.974517933799,0.97637102525,0.991650986736,0.991534990491,0.988622355089,0.985662532619,0.994343363299,0.985560572045,1.00185843791,0.986432217135,1.00938036329,0.997973781153,1.02049758314,1.01134443979,1.02786750645,1.032650313,1.05245243586
INT2017,0.957811731696,0.961562569574,0.966549295463,0.965684499767,0.973283745011,0.966379495024,0.9793919073,1.0098420646,1.00588633179,1.00756639005,1.00446668233,1.00922919566,0.995294805881,0.994322795045,1.00741906472,1.00809117249,1.01248800822,1.03597575909,1.06413335276
INT2018,1.0366052294,0.966621575383,0.955585794278,0.979044954285,0.979624999539,0.991624210146,0.988093144258,0.985855635638,0.993453355974,0.994951990262,0.98361408676,0.986544224504,1.01803273464,1.01245841381,1.01245534061,0.996239662069,1.02825856537,1.04277837324,1.01954830202
INT2019,0.949920748743,0.972948812052,0.986878476393,0.98332826998,0.993606371171,0.990522642271,1.01954906694,0.995316486123,1.00397254153,1.00741776546,1.00592480803,1.00689112777,0.999708204291,0.995115198191,0.997544364031,1.00884529508,0.995650887142,1.03729142625,1.03029890368
INT2020,1.02259876919,0.986981416629,0.974358476872,0.991766490564,0.988167704061,0.995230955941,0.98858553336,0.988736027427,1.00568366653,0.991334271943,0.987317609369,0.985148187283,1.0085585623,1.00846082134,1.00040117387,1.0090788346,1.0410887705,1.05049190748,1.00773059847
INT2021,1.02919936488,0.96475919182,0.973948709111,0.982063366372,0.992234808628,0.991606763905,0.988159962479,0.990459647184,1.00731696277,0.987933152336,0.989820503251,0.987876738115,1.00961605144,1.02034186464,0.992639165148,1.00491605473,1.0336341486,1.05140859472,1.00867095621
INT2022,0.961550180425,0.99119811208,0.971685019071,0.977456931483,0.988445506496,0.995376737095,1.00260497388,1.00341890309,1.00172223258,1.00404152009,1.01048821508,1.01188336732,0.998874295673,0.992677395772,0.995884459863,0.99382487725,0.99045883624,1.06516750574,1.0109967885
INT2023,1.00827844073,0.964547271565,1.00006076394,0.994780199973,0.999180227935,1.01047267213,1.00526031849,1.01555829708,0.987722318881,0.987073406118,0.985040615668,0.989808794345,1.00772015806,1.01646893815,1.00809482834,1.01658651485,1.02788419796,1.00727327818,1.00531531867
INT2024,1.028764914,0.968724085567,0.984671990526,0.999568279579,0.98826930379,1.00541953074,0.993781787004,1.00022302208,0.984299488311,0.986026162331,0.986386494682,0.988389291416,1.01044839759,1.01285072966,1.02112192666,1.04882585078,1.02403227591,1.02855309194,0.999170286081
INT2025,0.96201087096,1.00348336487,0.975390719121,0.973196857835,0.992865150846,1.02576892633,1.00640736022,1.00434104965,1.00634501235,1.00436854104,1.00554036856,1.01363254901,1.00029046276,0.993176467507,0.991608834088,0.983216260655,0.993657926374,0.998600510252,1.01775044277
INT2026,1.01924069146,0.972760575641,0.98559676301,1.00071819071,0.999882785752,0.996753556637,0.982221424592,0.993036079428,0.986799625096,0.989249660044,0.987669419374,0.98809683048,1.00905542747,1.01478934951,1.02092335081,1.04349163014,1.02155889904,1.02689019912,1.02170498573
